k,frame,t,cx,cy,vx,vy,speed_px_s,speed_bl_per_s,psi_vel_deg,axis_deg,axis_src,psi_body_deg,beta_deg
226,449,7.7377,1084.0407,791.5305,229.6995,-6.5812,229.7938,0.4652,358.3588,,none,,
227,451,7.7720,1091.9068,791.2392,231.4473,-7.8719,231.5811,0.4688,358.0520,,none,,
228,453,7.8062,1099.8892,790.9914,233.8691,-6.8726,233.9701,0.4736,358.3168,,none,,
229,455,7.8404,1107.9211,790.7686,224.5090,-6.2285,224.5954,0.4546,358.4109,,none,,
230,457,7.8747,1115.2625,790.5649,221.0948,-5.9448,221.1747,0.4477,358.4598,,none,,
231,459,7.9089,1123.0607,790.3615,229.6829,-6.9652,229.7885,0.4652,358.2630,,none,,
232,461,7.9432,1130.9902,790.0880,234.2875,-9.0159,234.4609,0.4746,357.7962,,none,,
233,463,7.9774,1139.1036,789.7441,238.7515,-9.7910,238.9521,0.4837,357.6517,,none,,
234,465,8.0116,1147.3388,789.4176,242.0041,-10.2993,242.2232,0.4903,357.5631,,none,,
235,467,8.0459,1155.6750,789.0389,225.7287,-11.9334,226.0439,0.4576,356.9738,,none,,
236,469,8.0801,1162.7957,788.6004,185.0060,-16.1413,185.7088,0.3759,355.0137,,none,,
237,471,8.1143,1168.3433,787.9336,186.4707,-14.3503,187.0221,0.3786,355.5993,,none,,
238,473,8.1486,1175.5643,787.6178,223.8174,-4.3469,223.8596,0.4532,358.8874,,none,,
239,475,8.1828,1183.6693,787.6359,237.9126,4.0519,237.9471,0.4817,0.9757,,none,,
240,477,8.2171,1191.8555,787.8952,223.8785,7.4452,224.0023,0.4534,1.9047,,none,,
241,479,8.2513,1198.9995,788.1457,176.4693,1.5205,176.4759,0.3572,0.4936,,none,,
242,481,8.2855,1203.9393,787.9993,104.2281,-9.4637,104.6569,0.2119,354.8119,,none,,
243,483,8.3198,1206.1366,787.4977,80.1747,-12.4992,81.1432,0.1643,351.1389,,none,,
244,485,8.3540,1209.4293,787.1434,91.9782,-8.8099,92.3991,0.1870,354.5287,,none,,
245,487,8.3882,1212.4348,786.8945,91.5122,-8.5162,91.9076,0.1860,354.6833,,none,,
246,489,8.4225,1215.6957,786.5603,96.0241,-8.1790,96.3718,0.1951,355.1315,,none,,
247,491,8.4567,1219.0101,786.3344,98.9595,-8.0479,99.2863,0.2010,355.3506,,none,,
248,493,8.4910,1222.4720,786.0092,100.2475,-4.7194,100.3586,0.2032,357.3046,,none,,
249,495,8.5252,1225.8746,786.0112,108.6427,-0.4055,108.6435,0.2199,359.7861,,none,,
250,497,8.5594,1229.9113,785.9814,113.4588,-0.5656,113.4602,0.2297,359.7144,,none,,
251,499,8.5937,1233.6438,785.9725,104.3887,-4.0753,104.4682,0.2115,357.7643,,none,,
252,501,8.6279,1237.0594,785.7024,86.6019,-7.3793,86.9157,0.1759,355.1296,,none,,
253,503,8.6621,1239.5739,785.4672,62.0302,-9.9963,62.8305,0.1272,350.8453,,none,,
254,505,8.6964,1241.3069,785.0179,55.3723,-14.2197,57.1690,0.1157,345.5975,,none,,
255,507,8.7306,1243.3655,784.4935,58.0416,-16.5634,60.3587,0.1222,344.0728,,none,,
256,509,8.7649,1245.2814,783.8837,53.8722,-19.0582,57.1439,0.1157,340.5179,,none,,
257,511,8.7991,1247.0544,783.1885,51.7874,-20.3056,55.6260,0.1126,338.5901,,none,,
